ASIN,Product Name,Price,Original Price,Rating,Sales Volume,Offers,Best Seller,Amazon Choice,Climate Friendly
B07VCB7P1L,Kyocera DuraForce Pro 2 with Sapphire Shield E6910 Black - Verizon (Renewed),72.25,91.0,3.5,50.0,7,False,False,True
B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),69.07,77.0,3.9,500.0,26,False,False,True
B0CNL663BM,Apple iPhone 8 64GB Unlocked - Gray,120.0,139.0,4.1,1000.0,10,False,False,False
B08NFCZGJF,"Samsung Galaxy A01 SM-A015A 16GB 5.7” Single-SIM Android Smartphone (Renewed) (Black, GSM Unlocked)",68.0,,3.8,100.0,2,False,False,True
B092499CS7,"AT&amp;T CL82267 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black &amp; Wood Grain Finish",46.49,65.95,4.3,300.0,2,False,False,False
B0D79Z15XR,Samsung Galaxy A15 5G + 4G LTE (256GB + 8GB) Unlocked (T-Mobile Mint Tello &amp; Global) SM-A156M/DSN Dual Sim Warranty Latin America 6.5&quot; 50MP Triple + (15W Wall Charger) (Blue/Black 1 Year Latin),174.99,,4.08753709198813,0.0,1,False,False,False
B0CF2PV74C,Motorola Moto G54 Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Midnight Blue) - International Version,154.98,177.0,4.4,200.0,6,False,False,False
B0CGTKM9WC,"Google Pixel 8 - Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Hazel - 128 GB",499.0,699.0,4.3,400.0,5,False,False,True
B0CXTBZWQH,"DOOGEE N55 Android 14 Cell Phone,9GB+128GB Expandable 1TB Android Phone,6.56&quot; HD+ 90Hz Unlocked Cell Phone,5150mAh Battery,13MP+8MP,Dual SIM 4G Phone,Face Unlock,OTG/T-Mobile",139.99,,4.4,50.0,1,False,False,False
B09VD33WHW,Samsung Galaxy S22 Ultra 5G Unlocked - 128GB - Black (Renewed),389.0,,3.9,1000.0,34,False,False,False
B0B8F1S1XG,"AT&amp;T CL82219 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black",51.6,65.95,4.3,500.0,6,False,False,False
B0CD8YMKWC,"SAMSUNG Galaxy S23 FE Cell Phone, 256GB, Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Cream",559.99,659.99,4.5,100.0,2,False,False,True
B0D96WTMNT,"SAMSUNG Galaxy A15 5G (SM-156M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Blue)",162.5,,4.3,500.0,5,False,False,False
B096YK3RN9,"SAMSUNG Galaxy S21+ Plus G996U| Fully Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB - Phantom Silver - (Renewed)",246.0,,4.0,100.0,21,False,False,True
B0BTTQGVVW,"Cat S22 Flip (16GB) 2.8&quot; Touchscreen, Android 11, IP68 Water Resistant, 4G LTE GSM (T-Mobile Unlocked for MetroPCS, Global) (Black)",64.94,,3.9,1000.0,9,False,False,False
